OBJECTID,name,FREQUENCY,SUM_area_ha
1,Arbutus-Ridge,9,22.27184236
2,Downtown,25,31.75945804
3,Dunbar-Southlands,8,41.21715214
4,Fairview,12,35.28353349
5,Grandview-Woodland,17,11.45195801
6,Hastings-Sunrise,23,65.58116239
7,Kensington-Cedar Cottage,11,49.14254029
8,Kerrisdale,8,20.01293074
9,Killarney,16,77.81842437
10,Kitsilano,17,52.77629334
11,Marpole,12,26.57815355
12,Mount Pleasant,16,15.46140924
13,Oakridge,5,13.99339916
14,Renfrew-Collingwood,15,37.51368859
15,Riley Park,9,71.49168529
16,Shaughnessy,5,29.21392923
17,South Cambie,4,12.30392674
18,Strathcona,8,20.81380542
19,Sunset,6,28.48327071
20,Victoria-Fraserview,7,18.61783559
21,West End,16,16.96289712
22,West Point Grey,9,88.73863616